,Song,Artist,Billboard Peak,Track_URI,Explicit,Album Name,Release Date,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Key,Mode,Time Signature,Duration(ms)
43,Best Friend,Saweetie Featuring Doja Cat,31,spotify:track:2etHQJxIbV0soyPhelVs9Y,True,Best Friend (feat. Doja Cat),2021-01-07,89,0.00302,0.84,0.766,3.61e-06,0.0684,-4.12,0.136,0.402,94.018,E,Major,4,02:35
44,Wants And Needs,Drake Featuring Lil Baby,2,spotify:track:65OVbaJR5O1RmwOQx0875b,True,Scary Hours 2,2021-03-05,89,0.0618,0.578,0.449,2.17e-06,0.119,-6.349,0.286,0.1,136.006,C♯/D♭,Major,4,03:12
45,Someone You Loved,Lewis Capaldi,24,spotify:track:7qEHsqek33rTcFNT9PFqLf,False,Divinely Uninspired To A Hellish Extent,2019-05-17,89,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,0.446,109.891,C♯/D♭,Major,4,03:02
46,Bandido,Myke Towers & Juhn,11,spotify:track:1xK1Gg9SxG8fy2Ya373oqb,False,Bandido,2020-12-10,92,0.122,0.713,0.617,0.0,0.0962,-4.637,0.0887,0.682,168.021,G♯/A♭,Major,4,03:52
47,Arcade,Duncan Laurence,36,spotify:track:1Xi84slp6FryDSCbzq4UCD,False,Arcade,2019-03-07,87,0.818,0.45,0.329,0.00109,0.135,-12.603,0.0441,0.266,71.884,A,Minor,3,03:03
48,Cover Me In Sunshine,P!nk + Willow Sage Hart,49,spotify:track:6Tio0ZoDeSQnI7EBAqWer2,False,Cover Me In Sunshine,2021-02-12,88,0.0599,0.476,0.594,0.0,0.0785,-6.879,0.135,0.314,159.702,F,Major,4,02:21
49,Your Love (9PM),ATB x Topic x A7S,37,spotify:track:5YaskwnGDZFDRipaqzbwQx,False,Your Love (9PM),2021-01-15,91,0.194,0.669,0.784,6.28e-06,0.115,-5.603,0.112,0.517,125.993,G,Major,4,02:30
50,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,38,spotify:track:6toQdWWc4noiOk3Eo5mVDS,True,Beat Box 3 (feat. DaBaby),2021-02-26,82,0.0765,0.853,0.426,0.0,0.104,-6.812,0.374,0.201,160.051,C♯/D♭,Major,4,03:20
51,Bed,Joel Corry X RAYE X David Guetta,48,spotify:track:0siYMEsGrzzzlWLXK5zJfS,False,BED,2021-02-26,89,0.0142,0.671,0.782,0.00221,0.333,-4.593,0.0341,0.618,123.989,F♯/G♭,Major,4,02:58
52,Perfect,Ed Sheeran,30,spotify:track:0tgVpDi06FyKpA1z0VMD4v,False,÷ (Deluxe),2017-03-03,86,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,0.168,95.05,G♯/A♭,Major,3,04:23
53,La Noche de Anoche,Bad Bunny & Rosalia,7,spotify:track:4N0Ulny1B8wVcpH3VdIEsA,False,"By Request, Vol. 112",2020-12-22,8,0.0708,0.575,0.561,0.839,0.209,-3.851,0.0379,0.26,164.571,G,Major,4,03:18
54,Roses,SAINt JHN,14,spotify:track:0zLCBJZSiELJf02ucPP9wb,True,While The World Was Burning,2020-11-20,74,0.0143,0.769,0.719,0.00777,0.359,-5.472,0.0474,0.863,121.955,G♯/A♭,Major,4,02:56
55,Solid,Young Thug & Gunna Featuring Drake,11,spotify:track:6rTInqW3YECMkQsBEHw4sd,True,Slime Language 2,2021-04-16,86,0.0392,0.887,0.485,0.0,0.141,-9.358,0.2,0.328,125.987,N/A,Minor,4,03:35
56,Talking To The Moon,Bruno Mars,57,spotify:track:161DnLWsx1i3u1JT05lzqU,False,Doo-Wops & Hooligans,2010-10-05,86,0.512,0.523,0.606,0.0,0.106,-4.754,0.0301,0.065,145.837,C♯/D♭,Minor,4,03:37
57,Never Left,Lil Tecca,58,spotify:track:21UkXrc9kD48rNpTMI2ecz,True,Never Left,2021-05-06,82,0.0224,0.807,0.659,0.0,0.309,-6.92,0.332,0.438,82.465,N/A,Major,4,02:48
58,34+35,Ariana Grande,2,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,True,Positions,2020-10-30,88,0.237,0.83,0.585,0.0,0.248,-6.476,0.094,0.485,109.978,C,Major,4,02:53
59,Head & Heart,Joel Corry X MNEK,17,spotify:track:1eQugBnCVhTwIo0xQLCTdC,False,Instrumental Playback Hits - Karaoke Remix Playlist 2020.2,2020-12-11,4,0.0182,0.642,0.719,0.624,0.35,-9.141,0.0574,0.627,123.005,G♯/A♭,Major,4,02:43
60,Good Days,SZA,7,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,True,Good Days,2020-12-25,89,0.499,0.436,0.655,8.1e-06,0.688,-8.37,0.0583,0.412,121.002,C♯/D♭,Minor,4,04:39
61,My Head And My Heart,Ava Max,32,spotify:track:3ONp88fOe4oYYgdmeg0tjQ,False,My Head and My Heart (Originally Performed by Ava Max) [Instrumental],2021-03-09,3,0.00233,0.627,0.657,0.837,0.0748,-9.909,0.0297,0.441,116.4,A,Minor,4,02:53
62,In The Morning,iTZY,34,spotify:track:2QdH0rKlV3d9Y6lWzcnlBH,False,GUESS WHO,2021-04-30,84,0.0825,0.847,0.814,0.000507,0.0948,-4.668,0.152,0.711,140.057,N/A,Minor,4,02:52
63,911,Sech,48,spotify:track:2TksvaRivgAEj780DgRB73,True,911,2021-02-05,89,0.076,0.795,0.655,1.76e-06,0.296,-3.815,0.0422,0.744,93.029,G,Major,4,03:35
64,All I Know So Far,P!nk,65,spotify:track:4LmN3eU1R1vVEdKuDELpGk,True,All I Know So Far,2021-05-07,78,0.0586,0.578,0.639,0.0,0.0944,-5.749,0.0374,0.296,108.045,E,Major,4,04:37
65,Follow You,Imagine Dragons,66,spotify:track:7FdUvDkaE24o3FPIWTvzv2,False,Follow You / Cutthroat,2021-03-12,87,0.00209,0.542,0.732,7.92e-05,0.496,-5.956,0.0521,0.489,124.912,A,Major,4,02:55
66,Rockstar,DaBaby Featuring Roddy Ricch,8,spotify:track:7ytR5pFWmSjzHJIeQkgog4,True,BLAME IT ON BABY,2020-04-17,89,0.247,0.746,0.69,0.0,0.101,-7.956,0.164,0.497,89.977,N/A,Major,4,03:01
67,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,47,spotify:track:0wt9RjddODlWDetpuaXfRK,False,Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),2019-02-22,60,0.274,0.604,0.754,3.53e-06,0.0947,-4.243,0.119,0.28,179.836,D,Major,4,03:30
68,Shape Of You,Ed Sheeran,68,spotify:track:7qiZfU4dY1lWllzX7mPBI3,False,÷ (Deluxe),2017-03-03,86,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,0.931,95.977,C♯/D♭,Minor,4,03:53
69,"Volta Bebe, Volta Nenem",DJ Guuga E DJ Ivis,65,spotify:track:4wQUopWk9Ed7Ng5qpKN5qd,False,"Volta Bebê, Volta Neném",2021-03-27,86,0.288,0.583,0.918,0.0,0.0701,-3.612,0.0518,0.836,164.081,F♯/G♭,Major,4,02:52
70,Wockesha,Moneybagg Yo,71,spotify:track:0nqhKXDjsyBMvbeWmgijD0,True,A Gangsta’s Pain,2021-04-23,74,0.129,0.582,0.537,0.0,0.0749,-9.229,0.619,0.771,82.103,C,Major,4,03:00
71,Bad Guy,Billie Eilish,54,spotify:track:2Fxmhks0bxGSBdJ92vM42m,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,87,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,0.562,135.128,G,Major,4,03:14
72,Positions,Ariana Grande,1,spotify:track:35mvY5S1H3J2QZyna3TFe0,True,Positions,2020-10-30,89,0.468,0.737,0.802,0.0,0.0931,-4.771,0.0878,0.682,144.015,C,Major,4,02:52
73,Hawai,Maluma,3,spotify:track:0GzuHFG4Ql6DoyxFRnIk3F,False,Hawái (Remix),2020-11-05,80,0.105,0.766,0.788,5.81e-06,0.142,-3.128,0.312,0.609,179.984,F♯/G♭,Minor,4,03:20
